"gene_id","gene_name","gene_type"
"ENSG00000186092.7","OR4F5","protein_coding"
"ENSG00000284733.2","OR4F29","protein_coding"
"ENSG00000284662.2","OR4F16","protein_coding"
"ENSG00000187634.14","SAMD11","protein_coding"
"ENSG00000188976.12","NOC2L","protein_coding"
"ENSG00000187961.16","KLHL17","protein_coding"
"ENSG00000187583.12","PLEKHN1","protein_coding"
"ENSG00000187642.11","PERM1","protein_coding"
"ENSG00000188290.12","HES4","protein_coding"
"ENSG00000187608.11","ISG15","protein_coding"
"ENSG00000188157.16","AGRN","protein_coding"
"ENSG00000237330.3","RNF223","protein_coding"
"ENSG00000131591.19","C1orf159","protein_coding"
"ENSG00000162571.15","TTLL10","protein_coding"
"ENSG00000186891.14","TNFRSF18","protein_coding"
"ENSG00000186827.12","TNFRSF4","protein_coding"
"ENSG00000078808.21","SDF4","protein_coding"
"ENSG00000176022.7","B3GALT6","protein_coding"
"ENSG00000184163.3","C1QTNF12","protein_coding"
"ENSG00000160087.22","UBE2J2","protein_coding"
"ENSG00000162572.21","SCNN1D","protein_coding"
"ENSG00000131584.20","ACAP3","protein_coding"
"ENSG00000169972.14","PUSL1","protein_coding"
"ENSG00000127054.23","INTS11","protein_coding"
"ENSG00000224051.8","CPTP","protein_coding"
"ENSG00000169962.5","TAS1R3","protein_coding"
"ENSG00000107404.22","DVL1","protein_coding"
"ENSG00000162576.18","MXRA8","protein_coding"
"ENSG00000175756.15","AURKAIP1","protein_coding"
"ENSG00000221978.14","CCNL2","protein_coding"
"ENSG00000242485.7","MRPL20","protein_coding"
"ENSG00000235098.10","ANKRD65","protein_coding"
"ENSG00000205116.4","TMEM88B","protein_coding"
"ENSG00000179403.13","VWA1","protein_coding"
"ENSG00000215915.10","ATAD3C","protein_coding"
"ENSG00000160072.21","ATAD3B","protein_coding"
"ENSG00000197785.15","ATAD3A","protein_coding"
"ENSG00000205090.10","TMEM240","protein_coding"
"ENSG00000160075.13","SSU72","protein_coding"
"ENSG00000228594.4","FNDC10","protein_coding"
"ENSG00000197530.14","MIB2","protein_coding"
"ENSG00000189409.15","MMP23B","protein_coding"
"ENSG00000248333.10","CDK11B","protein_coding"
"ENSG00000189339.13","SLC35E2B","protein_coding"
"ENSG00000008128.24","CDK11A","protein_coding"
"ENSG00000008130.16","NADK","protein_coding"
"ENSG00000078369.20","GNB1","protein_coding"
"ENSG00000169885.10","CALML6","protein_coding"
"ENSG00000178821.14","TMEM52","protein_coding"
"ENSG00000142609.20","CFAP74","protein_coding"
"ENSG00000187730.10","GABRD","protein_coding"
"ENSG00000067606.18","PRKCZ","protein_coding"
"ENSG00000162585.18","FAAP20","protein_coding"
"ENSG00000157933.12","SKI","protein_coding"
"ENSG00000116151.15","MORN1","protein_coding"
"ENSG00000157916.21","RER1","protein_coding"
"ENSG00000157911.12","PEX10","protein_coding"
"ENSG00000149527.18","PLCH2","protein_coding"
"ENSG00000157881.17","PANK4","protein_coding"
"ENSG00000197921.6","HES5","protein_coding"
"ENSG00000157873.19","TNFRSF14","protein_coding"
"ENSG00000157870.18","PRXL2B","protein_coding"
"ENSG00000142606.16","MMEL1","protein_coding"
"ENSG00000215912.13","TTC34","protein_coding"
"ENSG00000169717.7","ACTRT2","protein_coding"
"ENSG00000142611.17","PRDM16","protein_coding"
