"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CD177",42.5068737671897,3.94931612428583,0.554418401123555,7.12334965124236,1.05335145844095e-12,1.74951143732458e-08
"FOXD2",23.4168462045114,1.51931294709111,0.248151122932156,6.12253101714348,9.21004803788846e-10,7.64848439306447e-06
"CA1",53.6017998910881,3.81719159323431,0.651236527289332,5.86145191996948,4.58837338349845e-09,2.54027645088419e-05
"GNG4",47.2576208718461,2.85820900602692,0.505650569517628,5.65253789539591,1.58095927882223e-08,5.25163053239169e-05
"SCNN1B",12.756498044052,2.21266836465089,0.390861330306732,5.66100607321393,1.50488100548667e-08,5.25163053239169e-05
"KLK10",12.6345239087841,2.65984866817189,0.495995748803811,5.36264408432254,8.20125026617607e-08,0.000227024276118197
"ARHGAP44",104.147024882805,1.57261871430244,0.313919380252553,5.00962607991022,5.45358896931461e-07,0.00101467424087515
"CEACAM7",43.311645821987,4.03134507262277,0.808251935446374,4.9877332745221,6.1091832191893e-07,0.00101467424087515
"TSC22D3",1743.09998545152,-1.22322742866,0.244921910488808,-4.99435687978556,5.90321490367483e-07,0.00101467424087515
"TUBB2B",131.51066427983,-1.59156861258723,0.315743309862421,-5.04070415072523,4.63822035948309e-07,0.00101467424087515
"TFCP2L1",64.4575970486259,1.40993029206839,0.286895615756818,4.91443652197003,8.90381672386224e-07,0.0013443953815148
"SLC26A2",1767.97581670314,1.12834685081176,0.232636486829088,4.85025743894046,1.23301335360799e-06,0.00170659323250625
"IMPG1",11.3747521035415,14.5928170332409,3.04210902409865,4.79694084519691,1.6110715375456e-06,0.00205832978208422
"H3C14",16.6311809778453,-16.329511652811,3.43734076566059,-4.750623451694,2.02790445261927e-06,0.00240581893239668
"CXCR4",810.09656992901,-1.61583895468931,0.347404395656562,-4.65117590592233,3.300476481741e-06,0.00365450759234909
"TNFAIP3",650.829970192405,-0.743630404799717,0.160717696122806,-4.62693544481562,3.71116126198245e-06,0.00385241733751666
"TBC1D9B",308.896229513314,-2.36651358349193,0.514098949654388,-4.60322586747719,4.15996646383492e-06,0.00406428723516672
"SYT12",10.2912291191596,2.23385131946397,0.487420469800878,4.58300678339699,4.5833716568551e-06,0.00422917888048368
"DEPP1",263.099758398923,-1.20375118292015,0.263436129283306,-4.56942328371977,4.89068143595792e-06,0.00427522778788553
"INO80B",81.8049319322529,-1.06879244567652,0.238379217216179,-4.48358065001643,7.34008425537403e-06,0.00609557296987536
"DDIT4",527.860546867397,-1.05244461270307,0.237935438551735,-4.42323606398898,9.72333988973236e-06,0.00769023582040785
"CEACAM1",657.428060912708,0.961738398193811,0.217939993906454,4.41285870002647,1.0201458029992e-05,0.00770163711000621
"RHBDL2",15.2148735420826,1.80310302827236,0.410652758740139,4.39082166111384,1.12923131058284e-05,0.00781475118227933
"VSIG2",52.6135357104634,1.53665564221774,0.34931990422628,4.39899250980655,1.08754579591977e-05,0.00781475118227933
"CKB",527.932503362105,1.24193973132851,0.286891547696607,4.32895197261748,1.49820598712642e-05,0.00957065509237794
"GIP",14.1518452426437,3.05047484753222,0.703277426871194,4.33751280928133,1.44104138598165e-05,0.00957065509237794
"IFI44L",155.776461379758,-1.24045959407157,0.288932710764665,-4.29324734741414,1.76078658582044e-05,0.0104446087156756
"ZNG1F",96.5752200296851,-1.06116550773579,0.246709528909165,-4.30127491397586,1.69818216871208e-05,0.0104446087156756
"AFF2",29.648424593778,-1.8938535002472,0.448333288758371,-4.22420897072376,2.39781484772738e-05,0.0111931612677171
"AHCYL2",531.706541351804,0.649019541279275,0.152574860388719,4.2537777168909,2.10193962194392e-05,0.0111931612677171
"LEFTY1",15.364532439087,2.14642268503625,0.506879944662042,4.23457804484129,2.28981252020177e-05,0.0111931612677171
"MCM8",145.456609747581,-0.414950407218881,0.0984370997608696,-4.21538635562108,2.49350934376261e-05,0.0111931612677171
"PLAUR",102.279516872339,1.01737256395306,0.240127366890632,4.23680389756004,2.26723987702019e-05,0.0111931612677171
"PRSS16",102.847177130549,0.536266527169872,0.126644021947512,4.23444011745087,2.29121827257712e-05,0.0111931612677171
"PTGS2",48.8053935597627,1.44540013344448,0.342410662633789,4.22124744108903,2.42954062190718e-05,0.0111931612677171
"RASL11A",108.00525913545,0.814167888542935,0.191302589784834,4.25591671005951,2.08194206318035e-05,0.0111931612677171
"SQOR",911.9037165545,0.50498579427623,0.119316730404545,4.23231337771384,2.31299818562164e-05,0.0111931612677171
"CEP135",143.812152403779,-0.551001333981258,0.130903375300075,-4.20922174633142,2.56251805003329e-05,0.0112002269192113
"COQ3",46.082324981606,0.541006220420985,0.128744598891205,4.20216634391133,2.64372746172679e-05,0.0112588895927744
"IFT27",103.475059513568,0.631594219143535,0.150973945752196,4.1834650077982,2.87099298259348e-05,0.0116303225482671
"JSRP1",6.82298957588342,2.33121627207117,0.557051684706082,4.18491916652436,2.85267594955749e-05,0.0116303225482671
"PER1",252.873403566245,-0.901699239479268,0.217053618955641,-4.15426954785558,3.26328314308077e-05,0.0129047308865306
"CEACAM5",3421.13507093818,1.30913095904248,0.31648379606714,4.13648652888616,3.5266404841204e-05,0.0136218539071525
"DAB2IP",582.255680587404,0.408884717743771,0.099575501412293,4.10627827070417,4.02085058044612e-05,0.0149160294227156
"DHRS9",153.53623481474,0.933528814701321,0.227688761493045,4.10002148801638,4.13111778821675e-05,0.0149160294227156
"SRXN1",247.32001733341,0.830919773942073,0.202487483591957,4.10356116438537,4.06838830062602e-05,0.0149160294227156
"FMO2",10.3730588429059,-2.05701967247525,0.503311852365096,-4.08696847254675,4.37046483321904e-05,0.0151227188364448
"HCAR2",21.2756654548472,1.33157201039076,0.325791683754198,4.08718846057286,4.36632420803447e-05,0.0151227188364448
"OSTF1",319.429090025814,0.528427552137592,0.12961028222783,4.07704962179403,4.56107616647531e-05,0.0152199638940241
"TRAF7",712.78879860323,0.451003730345896,0.110648802670989,4.07599286624855,4.58184234271301e-05,0.0152199638940241
"ZNF445",224.371422972528,-0.368034145867881,0.0905294114046182,-4.06535445395712,4.79595167090337e-05,0.0156188159415753
"PUF60",350.489599405427,-2.26058792058422,0.558965188137108,-4.04423740254416,5.24937075322007e-05,0.01676669208466
"SFN",753.632092403935,1.10584898241163,0.274023417961413,4.03560028058389,5.44628710570121e-05,0.0170674306676587
"FGFBP1",22.3404434790736,1.59472678512896,0.39576021593614,4.02952778201003,5.58890106220409e-05,0.0171186249110033
"PIGZ",93.7488658910607,1.00556671732077,0.249756325147902,4.02619119545938,5.66876013068324e-05,0.0171186249110033
"PLCG1",392.692482088551,-0.420332727820707,0.105022046881972,-4.00232846626094,6.27221392837255e-05,0.0186027144886321
"TOB1",486.407853634148,0.462228876119726,0.115689761511241,3.99541731335328,6.45803945829915e-05,0.0188178205899808
"FKBP5",594.848247752611,-0.650904789230295,0.163114837221364,-3.9904695386291,6.594261835694e-05,0.0188834646256968
"EDRF1",142.790819944718,-0.35633586108091,0.0894545353273984,-3.98342979231563,6.79277455746314e-05,0.0191222360381195
"PON2",609.654899263231,0.52955767229676,0.133566905421302,3.96473715271314,7.34768658576066e-05,0.0203396210838165
"WFDC2",18.2032131562184,1.27862446054677,0.323505158409867,3.95240826091189,7.73685940877138e-05,0.0210658193311941
"IKZF2",157.373762453523,-0.627916735410981,0.15953741758959,-3.93585871514039,8.28997355298511e-05,0.0222077694744403
"PADI2",401.656494354205,1.05861963270421,0.269872782370367,3.92266172011146,8.7576071676533e-05,0.0229180920799216
"UGP2",917.083197600479,0.35073847917261,0.0894593043414938,3.92064840828331,8.83110297498333e-05,0.0229180920799216
"MMP16",12.77648851101,-1.24101126116891,0.317392179923362,-3.91002469395612,9.22866861313503e-05,0.0232240843932666
"PLCD3",97.1739163906389,1.13720592481597,0.290769728949055,3.91101896654181,9.19075537547418e-05,0.0232240843932666
"PHLDA2",126.113781435533,0.901259646936764,0.231374689069445,3.89523871673905,9.81020635334992e-05,0.0243190622869834
"RNF208",26.0348645959878,-0.827383561453764,0.212748669358349,-3.88901873722245,0.000100650347896262,0.0245838474736621
"RAMACL",9.49835203290513,1.56400814550602,0.403385859612129,3.87720121624955,0.000105664967459977,0.0254346296310545
"TNS4",18.4588373608414,1.42498172734144,0.367997463317862,3.87225964682966,0.000107830991404116,0.0255852133747281
"AJAP1",5.76759923059651,1.29271804994627,0.334469996945673,3.86497462179319,0.000111100750856222,0.0256287829301527
"RGS1",181.065542882059,-1.18040450483141,0.305287190535184,-3.86653794010193,0.000110391296972255,0.0256287829301527
"NANS",484.380916501281,0.528585810089208,0.137008917852297,3.85803945009661,0.000114300202141319,0.0256542169914211
"ZNF141",228.810799031342,-0.463592673806385,0.120062824894788,-3.86125075944727,0.000112808051471793,0.0256542169914211
"ARL11",88.9305749195921,-0.685672267979539,0.178784165640254,-3.83519572622127,0.000125464342159246,0.027454718915615
"SLC1A2",19.0996499720974,-1.79184166837559,0.467641006858542,-3.83166070146968,0.000127281194322497,0.027454718915615
"SLC9A3",1662.22619325872,0.860543228361997,0.224475704921291,3.83356955561732,0.000126297067216805,0.027454718915615
"HPR",7.63030167832325,2.06689494530898,0.540317461723828,3.82533434828251,0.000130594724058911,0.0274563009100564
"IL22RA2",27.6757443451734,-1.59400641442799,0.416527882598342,-3.82689006191957,0.000129772438566877,0.0274563009100564
"CAPN2",1184.44071069083,0.421431241554334,0.110355781824453,3.81884151955646,0.000134079863437754,0.0278366556479706
"ZNF286A",97.169628073016,-0.576717227938054,0.151564559260736,-3.80509289738328,0.000141750979451503,0.029065950835926
"ADAMTS12",19.2722211533143,1.19608345866822,0.31523711525852,3.79423424709153,0.000148099808127534,0.0299974355267099
"MICOS10-NBL1",33.08050149743,-3.37979600402632,0.89296434748391,-3.78491707261271,0.000153759841720158,0.030768641097953
"MUC12",210.557361088646,1.07220833608564,0.283984135895189,3.77559236788269,0.000159627857216942,0.0315626081013833
"MCM3AP",672.722390402231,-0.276626213708169,0.0733434833393762,-3.77165361001686,0.000162169276415746,0.0316878766116367
"ATM",640.168930039088,-0.675979045991995,0.179641456308958,-3.76293456911976,0.000167931149317214,0.0324321913838327
"LSS",149.825642546678,-1.73001784181527,0.462001106283404,-3.74461839654996,0.000180668165074733,0.0344910063646695
"CYB561D1",200.791010301104,0.36611432432125,0.0979765202424644,3.73675573918342,0.000186409846856071,0.0347874286116009
"GDF15",44.5571761878027,0.881438657259801,0.235848576539162,3.73730751397365,0.000186001383839251,0.0347874286116009
"IPPK",49.4457634324861,-1.59286959430806,0.427139008162525,-3.72915974394449,0.00019211933535301,0.0354545560097572
"NOM1",157.406170388332,-0.365477085616749,0.0981193869026341,-3.72482031486213,0.000195454391424502,0.0356736482106544
"CRABP2",6.99586881282085,1.98696551346563,0.534224591072167,3.71934490974642,0.000199740146556023,0.0360596097190108
"POLG2",73.8755573997955,-0.535860285786251,0.14425774012483,-3.71460335731418,0.000203522673070852,0.0363473986777827
"HSFX3",13.4938119657907,-15.8726132308436,4.29098137547183,-3.69906365046814,0.000216396332023167,0.0382353901975828
"ARHGAP22",34.0640625424031,-0.970764880988585,0.263627283198194,-3.68233844847829,0.000231104317736786,0.0401559254482779
"CETP",74.0861860380607,-1.69305030353276,0.460061922545644,-3.68004875118694,0.000233189368350287,0.0401559254482779
"FARS2",207.229118852923,-0.402459819657634,0.109405741423785,-3.67859871356017,0.000234518921577636,0.0401559254482779
"EML6",88.5465593146952,-1.18714177124388,0.323916522150225,-3.66496208147513,0.000247375231050162,0.0409958324935126
"IGLL5",6415.54699800731,1.35024471485455,0.368378279448078,3.66537548543186,0.000246975952965701,0.0409958324935126
"SPATA2",151.829172243712,0.514369398493308,0.140423725498299,3.66298071545993,0.000249297313615797,0.0409958324935126
"SUPV3L1",109.079147112064,-0.395314524763066,0.107802756779859,-3.66701684234593,0.000245396637579639,0.0409958324935126
"FRK",959.529903448187,0.603690779896682,0.165143169863808,3.65556008398373,0.000256621093581314,0.0417864680714907
"ZNF641",146.885266319705,-0.343117673217444,0.0939300434434453,-3.65290657428508,0.000259288589347532,0.0418109143735259
"RGMA",147.435560584738,-1.05286081360883,0.288722791945005,-3.64661482564694,0.000265717767398667,0.0424356384492737
"IL20RA",17.260699307187,1.29697743956156,0.356201500105345,3.64113413104094,0.000271439665188893,0.0429365847535459
"DHX40",412.722856326542,-0.247187450400871,0.0679372815296684,-3.63846543216368,0.000274267432254954,0.0429746017200239
"EPHA1",137.097864867223,0.795587148603039,0.218882533889147,3.63476762840274,0.000278231299249268,0.0431134300740989
"SFSWAP",368.376020558355,-0.288209418154868,0.0793869578241273,-3.6304378710841,0.000282940807879871,0.0431134300740989
"ZCCHC7",289.899611183498,-0.417689355407235,0.115021201163268,-3.63141187175,0.00028187491438971,0.0431134300740989
"SV2B",26.9747218632039,-1.1363800587373,0.313280729314021,-3.62735384722064,0.000286340760050536,0.0432348516698123
"LRRC42",125.79415456216,0.385474374507468,0.106438381199178,3.62157306569825,0.000292817077388578,0.0434232039138115
"POLA1",215.349813641288,-0.421209743805186,0.116304961828582,-3.62159736938819,0.000292789564560522,0.0434232039138115
"CARD11",150.500947245923,-1.08971918193216,0.301249442473788,-3.61733177988199,0.000297655658685291,0.0437501135849911
"USF1",306.774614638241,-0.907628179309143,0.251174589429306,-3.61353503700898,0.000302050517347522,0.0440066407247807
"MLH3",238.426567931591,-0.302933564879675,0.0840238224437474,-3.60532948953238,0.000311757131121657,0.0450258625286921
"TBC1D4",282.633039653238,-0.542436701103312,0.150669914162141,-3.60016599279123,0.000318014098381615,0.0455335875863814
"MOCOS",270.049204966846,0.561999723505853,0.15632141545514,3.59515503278647,0.000324198457325081,0.0460223263052331
"CA4",275.279803679581,1.80712828437405,0.506742213897703,3.56616882275147,0.000362238067617008,0.0501367672087574
"NBPF8",73.0589449316508,-1.89550509910786,0.531307670483268,-3.56762231078604,0.000360235241633546,0.0501367672087574
"SMOC1",16.6136580523404,0.965607290183558,0.270760118073668,3.56628331030952,0.000362079933121604,0.0501367672087574
"VCAM1",533.472186937936,-0.952093011085445,0.267191088618598,-3.5633411877913,0.000366164257114385,0.0502613400529985
"COL19A1",20.5176743635697,-1.31666539183328,0.369783530733175,-3.56063827186329,0.000369954436048186,0.0503653543305272
"ATP6V1D",584.326235442767,0.287069413678002,0.0810781353932059,3.54065140109349,0.000399140558311092,0.0515882686145781
"CAPN1",1279.08262864452,0.39040601951269,0.110855439736759,3.52175788973245,0.000428695469606108,0.0515882686145781
"DERL3",182.723231502806,1.26521095110573,0.359899710597695,3.5154542052967,0.000439002464736673,0.0515882686145781
"EARS2",91.3289218533582,-0.654508917811904,0.185752742810999,-3.5235491433785,0.000425808124913127,0.0515882686145781
"EIF1AX",960.285140861757,-0.576534812689806,0.163620649863258,-3.5236066668335,0.000425715703741839,0.0515882686145781
"ETNK1",921.986043511961,0.684310385099944,0.193025502175675,3.54518121899325,0.000392343244182285,0.0515882686145781
"FA2H",133.690460583251,0.838424384744207,0.238580944757442,3.51421353283938,0.000441058109655614,0.0515882686145781
"FAM120A",2584.63377418884,0.361988699972148,0.102068130043871,3.54653994166991,0.000390325568414248,0.0515882686145781
"FBF1",66.4076493676682,-0.686341217226074,0.195295663273371,-3.51436998508947,0.000440798392933539,0.0515882686145781
"MRPL44",188.465132751067,0.352854900617522,0.0997758661661059,3.53647544417297,0.000405504196680549,0.0515882686145781
"PBDC1",372.449139177062,0.323180847314574,0.0914753482364383,3.53298296803683,0.000410898942411021,0.0515882686145781
"PLAC8",1227.87478723844,0.56037392338656,0.159105305673512,3.52203165704895,0.000428253000298682,0.0515882686145781
"RAB4B",150.556812501018,-1.39487934034806,0.396806379285675,-3.51526440391181,0.000439316362270054,0.0515882686145781
"RHOV",7.39132578563075,0.918828801794464,0.261213861340122,3.51753462500243,0.000435575519903365,0.0515882686145781
"S100A14",1983.97761490634,0.586683208258921,0.165472607916014,3.54550046468532,0.000391868296747653,0.0515882686145781
"SLC16A9",56.3211755746927,1.0235594588475,0.289822369182222,3.53167859932839,0.000412930907873397,0.0515882686145781
"SPOCK2",593.468066489416,-0.938418337560335,0.266639814306862,-3.51942315891489,0.000432486296970604,0.0515882686145781
"SPTY2D1",295.781132893654,0.247292960736626,0.0701838494723182,3.5235023811876,0.000425883270096323,0.0515882686145781
"TNFRSF6B",59.0308360025425,-2.44577334119905,0.694439609850167,-3.52193813041102,0.000428404112320491,0.0515882686145781
"TNFSF8",64.5534229308546,-0.952372487798194,0.269735518095333,-3.53076411487492,0.000414361097981614,0.0515882686145781
"FOXO1",807.669483389033,-0.464580492418017,0.132435365735913,-3.50797907973033,0.000451524555412673,0.0524431562297139
"CLDN16",3.97199265016651,-2.38476313547317,0.680307086704151,-3.50542156928941,0.00045588479812381,0.0525818792502664
"PITPNM3",41.4942540725085,0.989455537031827,0.283161290511753,3.49431779761845,0.000475274898670902,0.0544402813243105
"XAF1",630.080045279889,-0.645929192232936,0.184955324269516,-3.49235251693371,0.000478785914992922,0.054466816863818
"SMAGP",167.164910407797,0.550798264503301,0.158192682862452,3.48181884608543,0.000498020483800423,0.0562695388805525
"ACIN1",993.253412177537,-0.397122309756191,0.114171457689561,-3.47829762177505,0.000504609313564846,0.0566287573580981
"DNAJB13",13.816312633531,2.03400341853188,0.585736784312305,3.47255537471484,0.000515528648688219,0.0567047372586929
"SNIP1",124.44367691088,0.215249689386621,0.0619726052488683,3.47330386583274,0.000514092954956498,0.0567047372586929
"SREK1",780.557644542516,-0.320848757006445,0.092370675866056,-3.47349149498157,0.000513733644922058,0.0567047372586929
"C3orf62",75.499353192193,-0.37841644599377,0.109171649797904,-3.4662519682929,0.000527768430722442,0.0576691175386121
"RBM38",383.092592337274,-0.892521157522158,0.257687154412983,-3.46358420370367,0.000533029737369328,0.0578633392677593
"CD24",1690.46542046487,1.07538836737755,0.311166942017612,3.45598526760175,0.000548285287235552,0.0587514215206148
"PPIL3",88.706175599203,-0.51533162317522,0.149079815212836,-3.45674981176693,0.000546732191134765,0.0587514215206148
"BTLA",52.6790458576076,-0.959044929458958,0.278669229026446,-3.44151714493006,0.000578461811831135,0.0608080521057172
"SLC34A2",64.0926494779875,-1.38585618606636,0.402596638125674,-3.44229448243369,0.000576801964333966,0.0608080521057172
"WNT2",1.92194746851157,2.22045537560621,0.645152328207286,3.44175364254871,0.000577956348751428,0.0608080521057172
"ITPR1",221.576267315296,-0.645146495416715,0.187666840775135,-3.43772236348209,0.000586628841017295,0.0608957401278516
"TIMELESS",180.783165560309,-0.532578066699797,0.154907452095276,-3.43804032340701,0.000585940437441507,0.0608957401278516
"CYP4A11",4.58393736928307,1.6641538373718,0.484493933251358,3.4348290518396,0.000592927735063695,0.061167309016602
"ARGLU1",941.190455182597,-0.387929172920054,0.113114939908793,-3.42951314152533,0.000604665150857102,0.0619010816926414
"WIPI1",177.182775440862,0.496458765125042,0.144814214680884,3.42824608909457,0.000607494509958489,0.0619010816926414
"PRKCE",170.915572546596,-0.437572693463548,0.127719800004116,-3.42603647554605,0.00061245812871692,0.0620208728912567
"RASGEF1A",19.6412866538429,-1.26408508467626,0.369315954233237,-3.42277410490083,0.000619855665000839,0.0620208728912567
"SLC9A7",105.630134449968,-0.798904707556833,0.233409048339608,-3.42276665467756,0.000619872653377603,0.0620208728912567
"TMCC2",21.6594716019842,-0.907339273508812,0.265347297014267,-3.41944042286598,0.000627500718495687,0.0624081403203285
"PRELP",133.936302976799,-1.07658799067221,0.315406134510305,-3.41333878094574,0.000641721145139062,0.0630671390509744
"ZNF354B",37.5906980510844,-0.557412336541905,0.163252389621442,-3.41442068832475,0.000639177997352473,0.0630671390509744
"TRMT13",142.594677883396,-0.392028646911517,0.114927232658536,-3.41110316365389,0.000647006065466796,0.063212492596106
"PAFAH2",542.673356026819,0.413603351496259,0.121424953557024,3.40624673413626,0.000658626270647898,0.0639714837964383
"DTX1",199.394132991981,-1.02700018433518,0.302247877924896,-3.39787392846601,0.000679117082792857,0.0655782303959684
"IGSF10",26.2441854722763,-0.997004389599879,0.294521117494135,-3.38517114861801,0.000711338869410189,0.0663268257170688
"LRCH1",227.384891031469,-0.389206216891507,0.115085006419737,-3.38190203050429,0.000719858124540752,0.0663268257170688
"MAL2",858.131916238429,0.488285826203221,0.144285275690727,3.38416947859497,0.000713939194385315,0.0663268257170688
"NFKBIA",2281.53820485316,-0.501899068129454,0.14794108159593,-3.3925604890485,0.000692426418385393,0.0663268257170688
"OVOL1",305.552606272235,0.476614990364894,0.140870347604208,3.38335922691126,0.000716049057890183,0.0663268257170688
"S100A10",1952.21569346226,0.472410086236,0.139476805191747,3.38701539361008,0.00070657423140583,0.0663268257170688
"SLA",402.209753899725,-0.720005469904571,0.212888078277212,-3.38208450060325,0.000719380124396174,0.0663268257170688
"ZNF608",265.270965238833,-0.364795093187496,0.10790271885355,-3.38077758432213,0.000722810250754979,0.0663268257170688
"ZNF701",169.919336497744,-0.426590142697112,0.126089169591,-3.38324174931803,0.000716355445333427,0.0663268257170688
"IL1RN",83.3530518193628,1.0988844964518,0.325504052841166,3.37594720207069,0.000735620344394943,0.0671314192310748
"ZNF626",47.1008996187228,-0.656526183248081,0.194616353797997,-3.37343789684563,0.000742357903186667,0.0673760787651768
"TRIM5",196.817666909607,-0.305712223256491,0.0907009590128959,-3.3705511670833,0.000750179730950059,0.0677159519095083
"SLC6A8",1713.93494188672,0.715631757027788,0.212577410990714,3.36645250166797,0.000761416937397246,0.068358777909356
"NT5DC4",8.11622373596141,-2.02511011240074,0.603820465462893,-3.35382821257686,0.000797018278680833,0.0707897143882885
"PIP4K2C",274.605759236509,0.582327013554542,0.173559541003518,3.3552002395693,0.000793075557708927,0.0707897143882885
"CCL21",1905.00930136136,-1.39200032809944,0.41652898420531,-3.3419050795594,0.000832055091951819,0.0735085267139775
"INCENP",120.844928569785,-0.517468793637344,0.154995000358,-3.33861603562773,0.000841968568833931,0.0736013471566461
"SLFN13",72.4329457739076,-0.787501409467839,0.235826460124324,-3.33932591386344,0.000839819706120505,0.0736013471566461
"KLF9",529.684092141258,-0.483298869391843,0.144916633115583,-3.33501309684977,0.000852953819480385,0.074171256480365
"CLDND2",21.9943000820399,-0.865802589729058,0.260076521454988,-3.32903018267608,0.00087148959467449,0.0745699651540337
"MS4A12",5.07207681861184,2.10583058844653,0.632018837208386,3.33191111478249,0.000862517995547397,0.0745699651540337
"RCSD1",363.812940136023,-0.622451395816528,0.187048615595167,-3.32775195280627,0.000875497814741199,0.0745699651540337
"RGS13",77.6506376397282,-0.970619607659687,0.291495880586678,-3.32978842001532,0.000869119992244344,0.0745699651540337
"ADAMTSL3",29.1412636537742,-0.955484011421868,0.287547967817744,-3.32286824585552,0.000890969859716337,0.0746786857914603
"FNBP4",458.43468197035,-0.370441806686088,0.111449352539092,-3.32385786230703,0.000887814332749553,0.0746786857914603
"MED28",455.112539340599,-0.240077857118808,0.0722759452375244,-3.3216840863143,0.00089475937579027,0.0746786857914603
"PLA2G2D",233.372011144981,-1.52357384369681,0.458579752423482,-3.32237486641111,0.000892546948000336,0.0746786857914603
"CHODL",18.9874539770711,-0.984300476778041,0.296684189817663,-3.31767081145435,0.000907713951338367,0.0753811050888947
"THAP4",299.729115367244,0.379909779568113,0.11468542069605,3.31262489392603,0.000924248489056975,0.0763723540037179
"CCDC69",794.802393623287,-0.683619785673885,0.206679442174586,-3.3076332047404,0.000940879539698538,0.0773617241329357
"TCN1",10.7629076078489,1.61000219129457,0.487128373781921,3.30508809986779,0.000949465497730996,0.0776831155261779
"CCL20",522.823917097614,-1.56606401764351,0.474055421501885,-3.30354626613481,0.000954702144320376,0.0777286662500839
"POGLUT1",227.860536730047,-0.375497635113959,0.113804594183598,-3.29949452223501,0.000968591178524096,0.0784747848005205
"BCL7A",159.569742562808,-0.810376999063567,0.245775001229884,-3.29723118709533,0.000976430926794501,0.0787259284617955
"RYR1",14.142885225641,-0.957224439004689,0.291126712962947,-3.2879993363114,0.00100902077351665,0.0809605122093626
"AAMP",719.409834886572,0.547710839790219,0.166842280948139,3.28280599304723,0.0010277937283603,0.0816776365279249
"FBXO5",77.1039121552616,-0.488792045262628,0.148834206149287,-3.28413781958395,0.00102294885016178,0.0816776365279249
"CCDC120",62.2220768506386,1.11752558790554,0.341020203634431,3.27700698080491,0.00104913775498824,0.0829768046314268
"LONRF2",14.2679174793776,-1.13490617375658,0.347178775350291,-3.26893881289689,0.00107951643079922,0.0849748265362287
"NHEJ1",286.523071213103,0.336268492465636,0.102979265297747,3.26539999575033,0.0010930959612918,0.0855894755338973
"SLC9A2",151.371226800351,0.735702797576376,0.225383456929445,3.26422714248581,0.00109763130162684,0.0855894755338973
"NDUFAF6",104.065456154401,-0.326491457651274,0.100151050675879,-3.25999033907197,0.0011141600880448,0.0864723593567103
"UBE2G2",764.652049999504,-0.349526895270941,0.107280797842511,-3.25805644905855,0.00112178089458675,0.0866588785032159
"ENAM",11.9904221154779,1.92870169943686,0.593927318539187,3.24736990408298,0.00116476900084543,0.088795107604136
"EXOG",84.3799467243614,-0.439158302952346,0.135242228803944,-3.24719805963106,0.00116547254245901,0.088795107604136
"PIK3IP1",588.167253568881,-0.642773996034902,0.19779222011038,-3.24974357270572,0.00115509112511211,0.088795107604136
"BMI1",101.945147726797,1.51264526897467,0.466951085044237,3.23940840362618,0.00119777931120906,0.088812127588711
"NBPF15",257.350045893132,-0.691348233143281,0.213271795488101,-3.24162991904784,0.00118848248338394,0.088812127588711
"TMEM182",47.511155485399,0.791995556581823,0.244239161471066,3.24270502654689,0.00118400724294667,0.088812127588711
"UBQLN1",941.242399270548,0.249955363282127,0.0770318336060592,3.2448320594366,0.00117519910077794,0.088812127588711
"USPL1",168.489786629124,-0.308557364995943,0.0952290372997466,-3.24016049878479,0.00119462436930253,0.088812127588711
"ZNF528",63.585777441608,-0.490155615289809,0.151259988241463,-3.24048428793576,0.00119326848126528,0.088812127588711
"RBMX",2104.63142585008,-0.452785997908891,0.139960578136875,-3.2350966531882,0.00121601559563393,0.0896013268224355
"RGS4",10.9828220804119,1.16743507808489,0.360949241326382,3.23434695082031,0.00121921246684752,0.0896013268224355
