"","Sample","Missing_Percentage"
"GSM4075844","GSM4075844",0.298695922169323
"GSM4075847","GSM4075847",0.254295176981991
"GSM4075850","GSM4075850",0.256934382115504
"GSM4075859","GSM4075859",0.305733802525357
"GSM4075860","GSM4075860",0.339060235975988
"GSM4075862","GSM4075862",0.303042848271579
"GSM4075868","GSM4075868",0.226868143241565
"GSM4075870","GSM4075870",0.265628234320017
"GSM4075872","GSM4075872",0.237010970813496
"GSM4075878","GSM4075878",0.265317739598427
"GSM4075881","GSM4075881",0.218019043676257
"GSM4075886","GSM4075886",0.312305940799006
"GSM4075890","GSM4075890",0.4133202235562
"GSM4075895","GSM4075895",0.360639619126475
"GSM4075903","GSM4075903",0.296004967915545
"GSM4075904","GSM4075904",0.347029600496792
"GSM4075906","GSM4075906",0.260505071413786
"GSM4075907","GSM4075907",0.359138894638791
"GSM4075909","GSM4075909",0.25543365762782
"GSM4075912","GSM4075912",0.215483336783275
"GSM4075916","GSM4075916",0.230594079900642
"GSM4075918","GSM4075918",0.389256882632995
"GSM4075919","GSM4075919",0.231163320223556
"GSM4075921","GSM4075921",0.270389153384392
"GSM4075926","GSM4075926",0.223349203063548
"GSM4075928","GSM4075928",0.252121713930863
"GSM4075929","GSM4075929",0.257503622438419
"GSM4075930","GSM4075930",0.237217967294556
"GSM4075940","GSM4075940",0.301852618505485
"GSM4075941","GSM4075941",0.196439660525771
"GSM4075954","GSM4075954",0.236079486648727
"GSM4075956","GSM4075956",0.216000827985924
"GSM4075958","GSM4075958",0.247981784309667
"GSM4075965","GSM4075965",0.264851997516042
"GSM4075967","GSM4075967",0.265835230801076
"GSM4075968","GSM4075968",0.261126060856965
"GSM4075973","GSM4075973",0.251914717449803
"GSM4075979","GSM4075979",0.278099772303871
"GSM4075983","GSM4075983",0.214500103498241
"GSM4075984","GSM4075984",0.239443179465949
"GSM4075986","GSM4075986",0.231163320223556
"GSM4075991","GSM4075991",0.216363071827779
"GSM4075996","GSM4075996",0.276961291658042
"GSM4076002","GSM4076002",0.262161043262265
"GSM4076009","GSM4076009",0.303974332436349
"GSM4076011","GSM4076011",0.320948043883254
"GSM4076012","GSM4076012",0.297609190643759
"GSM4076014","GSM4076014",0.245549575657214
"GSM4076017","GSM4076017",0.229145104533223
"GSM4076018","GSM4076018",0.301438625543366
"GSM4076019","GSM4076019",0.257814117160008
"GSM4076021","GSM4076021",0.264075760712068
"GSM4076024","GSM4076024",0.249172014075761
"GSM4076025","GSM4076025",0.243945352929
"GSM4076028","GSM4076028",0.273649347961085
"GSM4076029","GSM4076029",0.245032084454564
"GSM4816281","GSM4816281",0.184537362864831
"GSM4816283","GSM4816283",0.172790312564686
"GSM4816308","GSM4816308",0.149658455806251
"GSM4816310","GSM4816310",0.171600082798592
"GSM4816360","GSM4816360",0.152556406541089
"GSM4816362","GSM4816362",0.169323121506934
"GSM5035182","GSM5035182",0.132219002276961
"GSM5035183","GSM5035183",0.102049265162492
