"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUSP21",7.91481725189924,30.5562478686629,6.8785746216691,2.03520554035626e-10,3.93283118618444e-06,5.07133643448103
"GGACT",461.620827062275,1143.96688344965,6.38835749932935,2.49555603187271e-09,1.97545045150387e-05,3.93802406687746
"DMBT1",98674.3129939581,319124.206448258,6.34129657898673,3.15956037212575e-09,1.97545045150387e-05,3.83039217980073
"SIK1",273.769711790394,770.87877668696,6.289652473602,4.08911291969339e-09,1.97545045150387e-05,3.71255075738109
"FDFT1",88.7490683136925,144.180964891721,6.10425805642523,1.02293851683013e-08,3.9534527798451e-05,3.29202837800822
"REG1A",256885.998070228,631571.601496064,6.05864732044354,1.27900608241061e-08,4.11925225608376e-05,3.18921208785692
"DNAJB13",108.42161153317,384.572632614468,5.82951636134273,3.87603600932913e-08,0.00010700074263468,2.6769139122933
"BCO1",487.297438535623,2474.29187332446,5.71988974420464,6.53393826912952e-08,0.00014662598539683,2.43448478607643
"PRUNE2",1117.95375133098,8172.46233562888,5.7105642771001,6.82898917704133e-08,0.00014662598539683,2.41394763862425
"SPINK1",5888.89242041037,24792.0149845225,5.647672145482,9.18881123436673e-08,0.000165256024385778,2.27580305103252
"GRAMD2A",395.023707124483,2151.16311014706,5.64268184030002,9.40703926849286e-08,0.000165256024385778,2.26486893981615
"TGM2",4252.22565819227,30536.7440060426,5.40431333776205,2.84656998235467e-07,0.000423424428869837,1.74750330424194
"TSPO2",51.1167711910031,209.240987968452,5.40326849909217,2.86024405837464e-07,0.000423424428869837,1.74525760655275
"MUC1",671.453702039842,2543.74429479454,5.38799130615888,3.06765783697874e-07,0.000423424428869837,1.71244485791977
"PLA2G3",8.78590656218217,28.9486391972157,5.3677162461448,3.36572751283558e-07,0.000433595456386898,1.66896414200594
"CEACAM6",4198.14072201951,17486.9190209346,5.31062895580405,4.36503404761072e-07,0.000527186987100185,1.54695186294084
"GREP1",73.820149548364,116.81852067326,5.18421125441285,7.71692350419248e-07,0.000877187234088327,1.27900201387471
"CASP5",782.227039779868,3784.47878683486,5.14821263904814,9.06254238382748e-07,0.000972914272361568,1.20328443703884
"ZKSCAN8P1",-23.1845436382125,143.200497333236,-5.08814187428613,1.18324076638943e-06,0.00119012986913249,1.07752956275853
"MAB21L3",19.3042540527605,153.366693421924,5.07700470620332,1.24295435878084e-06,0.00119012986913249,1.05429748870234
"ADGRF4",14.7231627684392,99.1166756263238,5.06442238155383,1.31394468060573e-06,0.00119012986913249,1.0280824201814
